form	lemma	upos	freq.samp	errtype	is_correct	rand_int	groupID	BAMTINOF
zarudel	zarusti	VERB	1	lemma	FALSE	81	lemma-1	
čula	čuti	VERB	1	features	FALSE	78	features-1	
lahne	lahen	ADJ	1	correct	TRUE			
dovtipu	dovtip	NOUN	1	correct	TRUE			
matere	materi	NOUN	1	lemma	FALSE	105	lemma-1	
lice	lice	NOUN	1	features	FALSE	28	features-1	
bode	bosti	ADV	1	lemmupos	FALSE	14	lemmupos-1	
poslom	posel	NOUN	1	correct	TRUE			
upa	upati	VERB	1	correct	TRUE			
vzbujati	vzbujati	VERB	1	correct	TRUE			
vratislav	vratislav	PROPN	1	correct	TRUE			
čujejo	čovati	VERB	1	lemma	FALSE	112	lemma-1	
omaja	omajati	VERB	1	features	FALSE	61	features-1	
lesom	lo	NOUN	1	lemma	FALSE	131	lemma-1	
ujec	ujec	PROPN	1	lemmupos	FALSE	12	lemmupos-1	
bosizio	bosizia	PROPN	1	lemma	FALSE	124	lemma-1	
nemškutar	nemškutar	NOUN	1	correct	TRUE			
zatajil	zatajiti	VERB	1	lemma	FALSE	57	lemma-1	
zidovju	zidovje	NOUN	1	correct	TRUE			
veha	veha	PROPN	1	features	FALSE	35	features-1	
nesrečno	nesrečen	ADJ	1	features	FALSE	64	features-1	
bradatih	bradat	ADJ	1	correct	TRUE			
sloveče	sloveč	ADJ	1	features	FALSE	3	features-1	
stopata	stopati	VERB	1	correct	TRUE			
lisi	lis	NOUN	1	lemma	FALSE	9	lemma-1	
daj	daj	VERB	1	lemma	FALSE	8	lemma-1	
bled	bled	NOUN	1	upos	FALSE	69	upos-1	
slovenov	sloven	PROPN	1	correct	TRUE			
zbežali	zbežati	VERB	1	correct	TRUE			
prižgali	prižgati	VERB	1	features	FALSE	48	features-1	
pozablja	pozabljati	VERB	1	correct	TRUE			
plavala	plavati	VERB	1	correct	TRUE			
srci	srec	NOUN	2	lemma	FALSE	5	lemma-2	
fantazija	fantazija	NOUN	1	correct	TRUE			
razbita	razbit	ADJ	1	correct	TRUE			
zmagálčeva	zmagálčev	ADJ	1	lemma	FALSE	91	lemma-1	
mrmlja	mrmljati	VERB	1	correct	TRUE			
svati	svat	NOUN	1	correct	TRUE			
prisego	prisega	NOUN	1	correct	TRUE			
verigo	veriga	NOUN	1	correct	TRUE			
vpričo	vpričo	ADP	1	correct	TRUE			
štajerec	štajerec	PROPN	1	correct	TRUE			
sreča	srečati	VERB	1	correct	TRUE			
hodite	hodit	VERB	1	lemma	FALSE	79	lemma-1	
ti	ti	DET	2	upos	FALSE	3	upos-2	
potila	potiti	VERB	1	features	FALSE	67	features-1	
poslednje	poslednje	ADV	1	lemmupos	FALSE	107	lemmupos-1	
pristavila	pristaviti	VERB	1	correct	TRUE			
usmrtila	usmrtiti	VERB	2	correct	TRUE			
krasen	krasen	ADJ	1	correct	TRUE			
predmeta	predmet	NOUN	1	correct	TRUE			
tesnega	tesen	ADJ	1	correct	TRUE			
ustanovitelj	ustanovitelj	NOUN	1	correct	TRUE			
koran	koran	NOUN	1	features	FALSE	59	features-1	
druzim	druz	VERB	1	lemmupos	FALSE	194	lemmupos-1	
cerkljanski	cerkljanski	ADJ	1	correct	TRUE			
materinstvo	materinstvo	NOUN	1	correct	TRUE			
gotskem	gotski	ADJ	1	correct	TRUE			
ako	ako	ADV	3	upos	FALSE	1	upos-3	
doli	doleti	ADV	1	lemma	FALSE	43	lemma-1	
potrpljivo	potrpljiv	ADJ	1	lemma	FALSE	59	lemma-1	
pristavi	pristaviti	VERB	1	correct	TRUE			
izpričevalih	izpričeval	NOUN	1	lemma	FALSE	6	lemma-1	
nij	nij	X	2	lemmupos	FALSE	2	lemmupos-2	
resničnega	resničn	ADJ	1	lemma	FALSE	86	lemma-1	
gorička	goriček	NOUN	1	upos	FALSE	68	upos-1	
olajšan	olajšan	ADJ	1	correct	TRUE			
ponesrečenemu	ponesrečen	ADJ	1	correct	TRUE			
orjem	or	NOUN	1	lemmupos	FALSE	7	lemmupos-1	
dné	dné	NOUN	1	lemma	FALSE	94	lemma-1	
šteje	štej	VERB	1	lemma	FALSE	34	lemma-1	
miklavž	miklavž	PROPN	1	correct	TRUE			
spisje	spisje	NOUN	1	features	FALSE	71	features-1	
prigovarja	prigovarjati	VERB	1	correct	TRUE			
grdo	grdo	PRON	1	upos	FALSE	71	upos-1	
slučajih	slučaj	NOUN	2	correct	TRUE			
priporoči	priporoč	VERB	1	lemma	FALSE	95	lemma-1	
zdajci	zdajca	NOUN	1	lemmupos	FALSE	55	lemmupos-1	
natikati	natikati	VERB	1	correct	TRUE			
vlagar	vlagar	PROPN	1	correct	TRUE			
pisar	pisar	NOUN	1	features	FALSE	36	features-1	
majorja	major	NOUN	1	correct	TRUE			
temoti	temota	NOUN	1	correct	TRUE			
peter	peter	ADJ	1	upos	FALSE	43	upos-1	
goriček	goriček	PROPN	1	correct	TRUE			
okovanih	okovan	ADJ	1	correct	TRUE			
reko	reko	ADP	1	lemmupos	FALSE	31	lemmupos-1	
legel	leči	VERB	1	correct	TRUE			
teti	teti	VERB	1	lemmupos	FALSE	58	lemmupos-1	
pomislite	pomisleti	VERB	1	lemma	FALSE	103	lemma-1	
krepka	krepki	ADJ	1	lemma	FALSE	11	lemma-1	
gradiča	gradič	NOUN	1	features	FALSE	57	features-1	
jamejo	jameja	NOUN	1	lemmupos	FALSE	121	lemmupos-1	
zastonj	zastome	PRON	2	lemmupos	FALSE	4	lemmupos-2	
vajen	vajen	ADJ	1	correct	TRUE			
pepel	pepeti	VERB	1	lemmupos	FALSE	127	lemmupos-1	
čuvala	čuvati	VERB	1	correct	TRUE			
tovariša	tovariš	ADJ	1	upos	FALSE	81	upos-1	
spremljevala	spremljevati	VERB	1	lemma	FALSE	68	lemma-1	
delam	delati	VERB	1	correct	TRUE			
jezdil	jezditi	VERB	1	correct	TRUE			
razburjen	razburjen	ADJ	1	correct	TRUE			
skorja	skor	NOUN	1	lemma	FALSE	104	lemma-1	
hrast	hrast	NOUN	1	lemma	FALSE	73	lemma-1	
malvina	malvina	PROPN	1	correct	TRUE			
grofu	grof	NOUN	1	correct	TRUE			
goričkov	goričk	PROPN	1	lemmupos	FALSE	112	lemmupos-1	
vila	viti	VERB	1	features	FALSE	44	features-1	
žalostnim	žalosten	ADJ	1	correct	TRUE			
potém	potéti	NOUN	1	lemmupos	FALSE	11	lemmupos-1	
bežečim	bežečim	ADV	1	lemmupos	FALSE	77	lemmupos-1	
nemirnosti	nemirnost	NOUN	1	correct	TRUE			
je	biti	PRON	1	lemma	FALSE	67	lemma-1	
dolg	dolg	NOUN	1	correct	TRUE			
meni.	meni.	X	1	tokenization	FALSE	1	tokenization-1	
farewell	farewell	PROPN	1	lemmupos	FALSE	32	lemmupos-1	
vrela	vreti	VERB	1	correct	TRUE			
pravi	praviti	NOUN	1	upos	FALSE	58	upos-1	
matematika	matematika	NOUN	1	correct	TRUE			
listič	listič	NOUN	1	features	FALSE	60	features-1	
ljuba	ljub	NOUN	2	upos	FALSE	1	upos-2	
poljubovala	poljubovati	VERB	1	features	FALSE	88	features-1	
svetopolk	svetopolk	PROPN	2	correct	TRUE			
besedam	beseda	NOUN	1	correct	TRUE			
pisano	pisan	ADJ	1	lemmupos	FALSE	82	lemmupos-1	
slušajoči	slušajoč	ADJ	1	correct	TRUE			
citiral	citirati	VERB	1	correct	TRUE			
brigala	brigati	VERB	1	correct	TRUE			
zgenila	zgeniti	VERB	1	lemma	FALSE	36	lemma-1	
ali	aliti	VERB	1	lemmupos	FALSE	18	lemmupos-1	
valovi	valov	ADJ	1	lemmupos	FALSE	13	lemmupos-1	
drevi	dar	NOUN	1	lemmupos	FALSE	22	lemmupos-1	
top	top	ADJ	1	correct	TRUE			
zasoplim	zasopl	ADJ	1	lemma	FALSE	10	lemma-1	
rodovine	rodovina	NOUN	1	correct	TRUE			
komisarja	komisar	NOUN	1	features	FALSE	22	features-1	
ozko	ozka	NOUN	1	lemmupos	FALSE	28	lemmupos-1	
prime	prima	NOUN	1	lemmupos	FALSE	68	lemmupos-1	
skovir	skovir	PROPN	1	correct	TRUE			
solzami	solza	NOUN	1	correct	TRUE			
recept	recept	NOUN	1	correct	TRUE			
svasti	svasti	PART	1	correct	TRUE			
bežimo	bežiti	VERB	1	lemma	FALSE	42	lemma-1	
zavé	zavé	NOUN	1	lemmupos	FALSE	119	lemmupos-1	
monarhovskem	monarhovski	ADJ	1	correct	TRUE			
vidiva	vidiv	ADJ	1	lemmupos	FALSE	23	lemmupos-1	
tresla	tresti	VERB	1	lemma	FALSE	85	lemma-1	
silno	silen	ADV	1	lemma	FALSE	84	lemma-1	
avrelijo	avreliti	INTJ	1	lemmupos	FALSE	41	lemmupos-1	
zavezano	zavezan	ADJ	1	correct	TRUE			
obleče	obleče	VERB	1	lemma	FALSE	15	lemma-1	
kje	kje	NOUN	3	upos	FALSE	2	upos-3	
radovedno	radovedno	ADV	1	correct	TRUE			
moči	moči	NOUN	1	upos	FALSE	50	upos-1	
kos	kos	PROPN	1	lemma	FALSE	49	lemma-1	
modrijana	modrijan	ADJ	1	upos	FALSE	56	upos-1	
graščák	graščák	NOUN	2	lemma	FALSE	2	lemma-2	
močila	močiti	VERB	1	correct	TRUE			
zapisana	zapisan	ADJ	1	correct	TRUE			
strt	strt	NOUN	1	upos	FALSE	30	upos-1	
meni	jaz	VERB	2	upos	FALSE	2	upos-2	
neugodnosti	neugodnost	NOUN	1	features	FALSE	91	features-1	
tisočkrat	tisočkrat	ADV	1	correct	TRUE			
trdega	trd	ADJ	1	features	FALSE	82	features-1	
višino	višina	NOUN	1	correct	TRUE			
hrib	hrib	NOUN	1	features	FALSE	58	features-1	
izrazov	izraz	NOUN	1	correct	TRUE			
opravkov	opravek	NOUN	1	correct	TRUE			
draganov	dragan	PROPN	1	lemmupos	FALSE	61	lemmupos-1	
raztegnil	raztegniti	VERB	1	correct	TRUE			
davkarski	davkarski	ADJ	1	features	FALSE	68	features-1	
bode	bosti	NOUN	1	lemmupos	FALSE	81	lemmupos-1	
vzamem	vzeti	VERB	1	correct	TRUE			
trudom	trud	NOUN	1	features	FALSE	66	features-1	
izgled	izgled	NOUN	1	lemma	FALSE	101	lemma-1	
svetel	sveteti	ADJ	1	lemma	FALSE	152	lemma-1	
obhajal	obhajati	VERB	1	correct	TRUE			
zánj	záme	PRON	1	lemma	FALSE	129	lemma-1	
zalegalo	zalegati	VERB	1	features	FALSE	16	features-1	
farewell	farewelti	VERB	1	lemmupos	FALSE	87	lemmupos-1	
poneha	ponehati	VERB	1	correct	TRUE			
si	se	AUX	1	lemma	FALSE	37	lemma-1	
arturja	arturja	PROPN	1	lemma	FALSE	48	lemma-1	
najhujši	hud	ADJ	1	correct	TRUE			
inače	inače	NOUN	1	upos	FALSE	11	upos-1	
veže	veže	ADV	1	lemmupos	FALSE	120	lemmupos-1	
prihodnja	prihodnji	ADJ	1	correct	TRUE			
naturo	natura	NOUN	1	features	FALSE	73	features-1	
tur	tura	NOUN	1	lemma	FALSE	92	lemma-1	
elza	elz	PROPN	2	lemma	FALSE	1	lemma-2	
mojstra	mojster	NOUN	1	correct	TRUE			
meden	meden	ADJ	1	upos	FALSE	12	upos-1	
grozo	groza	NOUN	1	correct	TRUE			
žaljenje	žaljenje	NOUN	1	correct	TRUE			
nehvaležno	nehvaležen	ADJ	1	correct	TRUE			
angel	anči	VERB	1	lemmupos	FALSE	128	lemmupos-1	
soseda	soseda	NOUN	1	lemma	FALSE	56	lemma-1	
zanesljivi	zanesljiv	ADJ	1	correct	TRUE			
vzdihnila	vzdihniti	VERB	1	correct	TRUE			
sramote	sramota	NOUN	1	correct	TRUE			
množico	množica	NOUN	1	features	FALSE	53	features-1	
sam	sam	PART	1	upos	FALSE	78	upos-1	
kranjsko	kranjska	PROPN	1	lemma	FALSE	61	lemma-1	
vleglo	vleči	VERB	1	lemma	FALSE	93	lemma-1	
pravili	praviti	VERB	1	features	FALSE	55	features-1	
donel	doneti	VERB	1	features	FALSE	17	features-1	
pogledujejo	pogledovati	VERB	1	correct	TRUE			
prekrasno	prekrasno	ADJ	1	lemma	FALSE	50	lemma-1	
zaljubil	zaljubiti	VERB	1	correct	TRUE			
zameriti	zameriti	VERB	1	correct	TRUE			
oslépili	oslépiti	VERB	1	lemma	FALSE	30	lemma-1	
jošt	jošt	PROPN	1	correct	TRUE			
veruj	veruj	ADV	1	lemmupos	FALSE	125	lemmupos-1	
hipov	hip	NOUN	1	correct	TRUE			
žunu	žun	PROPN	1	correct	TRUE			
neizrecno	neizrecno	ADV	1	lemma	FALSE	148	lemma-1	
povzdigniti	povzdigniti	VERB	1	correct	TRUE			
razvedelo	razvedeti	VERB	1	correct	TRUE			
panonsko	panonski	ADJ	1	correct	TRUE			
smijal	smijati	VERB	1	lemma	FALSE	47	lemma-1	
dvomil	dvomiti	VERB	1	features	FALSE	11	features-1	
taji	ta	NOUN	1	lemmupos	FALSE	94	lemmupos-1	
ovsenjaka	ovsenjak	NOUN	1	correct	TRUE			
sobico	sobica	NOUN	1	correct	TRUE			
sloven	sloven	ADJ	1	upos	FALSE	21	upos-1	
goste	gost	ADJ	1	features	FALSE	90	features-1	
namenja	namenje	VERB	1	lemma	FALSE	138	lemma-1	
ti	ti	DET	3	upos	FALSE	3	upos-3	
tem	ta	ADV	1	lemma	FALSE	136	lemma-1	
slišno	slišen	DET	1	upos	FALSE	38	upos-1	
zapahi	zapah	NOUN	1	lemma	FALSE	45	lemma-1	
zasijal	zasijati	VERB	1	features	FALSE	41	features-1	
možak	možek	DET	1	lemmupos	FALSE	44	lemmupos-1	
vesela	veseti	ADJ	1	lemma	FALSE	25	lemma-1	
raji	raje	NOUN	1	lemma	FALSE	76	lemma-1	
roparjev	ropar	NOUN	1	correct	TRUE			
virgilija	virgilij	NOUN	1	upos	FALSE	33	upos-1	
robec	robec	NOUN	1	features	FALSE	38	features-1	
povrhu	povrh	NOUN	1	lemmupos	FALSE	129	lemmupos-1	
kretanje	kretanje	NOUN	1	correct	TRUE			
redovnik	redovnik	NOUN	1	correct	TRUE			
prelepi	prelepiti	VERB	1	lemmupos	FALSE	118	lemmupos-1	
pritrkuje	pritrkovati	VERB	1	correct	TRUE			
krotkega	krotki	ADJ	1	lemma	FALSE	63	lemma-1	
utrnil	utrniti	VERB	1	correct	TRUE			
izpregovoriti	izpregovoriti	VERB	1	lemma	FALSE	113	lemma-1	
para	par	ADJ	1	lemmupos	FALSE	6	lemmupos-1	
gernau	gerna	PROPN	1	lemma	FALSE	147	lemma-1	
odpuščeno	odpuščen	ADJ	1	correct	TRUE			
baron	baron	NOUN	1	features	FALSE	19	features-1	
neutešljivega	neutešljiv	ADJ	1	correct	TRUE			
moravski	moravski	ADJ	1	features	FALSE	56	features-1	
lahkoverna	lahkoveren	ADJ	1	correct	TRUE			
razvedri	razvedriti	VERB	1	correct	TRUE			
umela	umeti	VERB	1	correct	TRUE			
pridno	priden	NOUN	1	upos	FALSE	20	upos-1	
ljube	ljub	DET	1	upos	FALSE	4	upos-1	
hortenzija	hortenzija	PROPN	1	correct	TRUE			
boleška	boleška	PROPN	1	correct	TRUE			
odperajo	odperati	VERB	1	lemma	FALSE	120	lemma-1	
kamenitej	kamenita	DET	1	lemmupos	FALSE	131	lemmupos-1	
zemljepisje	zemljepisje	NOUN	1	features	FALSE	83	features-1	
udati	udati	VERB	1	lemma	FALSE	116	lemma-1	
vedi	vedeti	VERB	1	features	FALSE	62	features-1	
nenavaden	nenavaden	ADJ	1	correct	TRUE			
pijte	piti	VERB	1	correct	TRUE			
kriškar	kriškar	PROPN	2	correct	TRUE			
albreht	albreht	PROPN	1	correct	TRUE			
ónega	óen	ADJ	1	lemmupos	FALSE	60	lemmupos-1	
ajdova	ajdov	DET	1	upos	FALSE	55	upos-1	
reformationis	reformationis	NOUN	1	upos	FALSE	46	upos-1	
upehane	upehan	ADJ	1	correct	TRUE			
zrl	zreti	VERB	1	features	FALSE	77	features-1	
sopsti	sopst	NOUN	1	lemmupos	FALSE	73	lemmupos-1	
predbacivanji	predbacivanje	NOUN	1	features	FALSE	34	features-1	
dvobojevati	dvobojevati	VERB	1	correct	TRUE			
sosedki	sosedek	ADJ	1	lemmupos	FALSE	114	lemmupos-1	
naskokom	naskok	NOUN	1	correct	TRUE			
naročim	naročiti	VERB	1	correct	TRUE			
jesensko	jesensko	ADJ	1	lemma	FALSE	109	lemma-1	
odhodu	odhod	NOUN	1	correct	TRUE			
pero	pera	NOUN	1	lemma	FALSE	58	lemma-1	
ideala	ideal	NOUN	1	correct	TRUE			
óna	óen	ADJ	1	lemmupos	FALSE	57	lemmupos-1	
opregale	opregati	PROPN	1	lemmupos	FALSE	35	lemmupos-1	
tožitelju	tožitelj	NOUN	1	correct	TRUE			
treščilo	treščiti	VERB	1	correct	TRUE			
okamenela	okameneti	VERB	1	lemmupos	FALSE	70	lemmupos-1	
veslu	vesel	NOUN	1	lemma	FALSE	54	lemma-1	
mirú	mirú	NOUN	1	lemma	FALSE	2	lemma-1	
natvezel	natvesti	VERB	1	correct	TRUE			
zasopel	zasopsti	VERB	1	correct	TRUE			
ozek	ozek	ADJ	1	correct	TRUE			
zataknjeni	zataknjen	ADJ	1	correct	TRUE			
gotovih	gotovi	NOUN	1	lemmupos	FALSE	17	lemmupos-1	
domov	domov	NOUN	1	upos	FALSE	13	upos-1	
blagosti	blagost	NOUN	1	correct	TRUE			
amelija	amelij	NOUN	1	lemmupos	FALSE	27	lemmupos-1	
postavljal	postavljati	VERB	1	correct	TRUE			
izgubivati	izgubivati	VERB	1	lemma	FALSE	153	lemma-1	
rogulinove	rogulinov	NOUN	1	upos	FALSE	25	upos-1	
opombe	opomba	ADJ	1	upos	FALSE	45	upos-1	
obličje	obličje	NOUN	1	correct	TRUE			
vstajajo	vstajati	VERB	1	correct	TRUE			
gogala	gogala	VERB	1	upos	FALSE	73	upos-1	
zlogu	zlog	NOUN	1	correct	TRUE			
nasitil	nasititi	VERB	1	correct	TRUE			
istina	istina	PROPN	1	lemmupos	FALSE	51	lemmupos-1	
očarala	očarati	VERB	1	correct	TRUE			
nepokvarjen	nepokvarjen	ADJ	1	correct	TRUE			
duri	dura	NOUN	1	lemma	FALSE	7	lemma-1	
potrpežljivost	potrpežljivost	NOUN	1	correct	TRUE			
graščini	graščina	NOUN	1	correct	TRUE			
večeru	večer	NOUN	1	correct	TRUE			
ošabna	ošaben	ADJ	1	correct	TRUE			
prestrašil	prestrašiti	VERB	1	correct	TRUE			
glejte	gleti	VERB	1	lemma	FALSE	119	lemma-1	
mrtvaške	mrtvaški	ADJ	1	features	FALSE	50	features-1	
smiluj	smiluj	ADV	1	lemmupos	FALSE	96	lemmupos-1	
dohajal	dohajati	VERB	1	correct	TRUE			
vedoč	vedoč	ADV	1	correct	TRUE			
rovtah	rovta	NOUN	1	lemma	FALSE	21	lemma-1	
razbrskali	razbrskati	VERB	1	features	FALSE	47	features-1	
estournelle	estournelle	PROPN	1	correct	TRUE			
upognil	upogniti	VERB	1	correct	TRUE			
delíti	delít	NOUN	1	lemmupos	FALSE	115	lemmupos-1	
potlej	potlej	ADV	1	correct	TRUE			
opetovano	opetovano	ADV	1	correct	TRUE			
skrivši	skrivšiti	VERB	1	lemmupos	FALSE	101	lemmupos-1	
vračajočega	vračajoč	ADJ	1	features	FALSE	63	features-1	
mislé	mislé	NOUN	1	lemmupos	FALSE	93	lemmupos-1	
slavomir	slavomir	PROPN	1	correct	TRUE			
roland	roland	PROPN	1	correct	TRUE			
divjem	div	ADJ	1	lemma	FALSE	87	lemma-1	
mlinski	mlinski	ADJ	1	correct	TRUE			
sprejema	sprejem	NOUN	1	correct	TRUE			
naposled	naposled	NOUN	1	upos	FALSE	1	upos-1	
delo	delo	VERB	1	lemma	FALSE	155	lemma-1	
ujame	ujeti	VERB	1	correct	TRUE			
otmar	otmar	NOUN	1	upos	FALSE	52	upos-1	
potegne	potegna	VERB	1	lemma	FALSE	14	lemma-1	
smrtnega	smrten	ADJ	1	correct	TRUE			
očí.	očí.	X	1	tokenization	FALSE	2	tokenization-1	
vašemu	vaš	ADJ	1	upos	FALSE	16	upos-1	
zasmejal	zasmejati	VERB	1	correct	TRUE			
spomini	spomin	NOUN	1	features	FALSE	138	features-1	
kesaš	kesati	VERB	1	correct	TRUE			
rokovnjačem	rokovnjač	PROPN	1	lemmupos	FALSE	34	lemmupos-1	
dvoje	dvoj	DET	1	upos	FALSE	24	upos-1	
blazni	blazen	ADJ	1	lemmupos	FALSE	52	lemmupos-1	
trd	trd	NOUN	1	upos	FALSE	29	upos-1	
marjetica	marjetica	NOUN	1	upos	FALSE	15	upos-1	
mostovža	mostovž	NOUN	1	correct	TRUE			
prepričate	prepričati	VERB	1	lemma	FALSE	137	lemma-1	
glej	gleja	PROPN	1	lemmupos	FALSE	4	lemmupos-1	
taval	tavati	VERB	1	correct	TRUE			
polumraka	polumrak	NOUN	1	lemma	FALSE	51	lemma-1	
moravsko	moravsko	PROPN	1	lemma	FALSE	106	lemma-1	
negotov	negotov	ADJ	1	features	FALSE	9	features-1	
egipt	egipt	NOUN	1	upos	FALSE	26	upos-1	
nevaren	nevaren	ADJ	1	correct	TRUE			
vzrastel	vzrasti	VERB	1	lemma	FALSE	144	lemma-1	
zažvižgale	zažvižgati	VERB	1	features	FALSE	74	features-1	
stražnika	stražnik	NOUN	1	correct	TRUE			
jednakih	jednaki	NOUN	1	lemmupos	FALSE	117	lemmupos-1	
cerkvijo	cerkev	NOUN	1	correct	TRUE			
metod	metod	NOUN	1	lemmupos	FALSE	67	lemmupos-1	
ozémlje	ozémlje	NOUN	1	lemma	FALSE	33	lemma-1	
tenki	tenka	NOUN	1	lemmupos	FALSE	38	lemmupos-1	
stavili	staviti	VERB	1	features	FALSE	72	features-1	
pozná	pozná	NOUN	1	lemmupos	FALSE	16	lemmupos-1	
ubijmo	ubiti	VERB	1	lemma	FALSE	83	lemma-1	
zganen	zganen	ADJ	1	lemma	FALSE	117	lemma-1	
jeze	jeza	NOUN	1	correct	TRUE			
preiskovanju	preiskovanje	NOUN	1	correct	TRUE			
zvunaj	zvunaj	ADV	1	lemma	FALSE	64	lemma-1	
gotova	gotova	NOUN	1	lemmupos	FALSE	64	lemmupos-1	
jezo	jez	PROPN	1	lemmupos	FALSE	1	lemmupos-1	
postani	postaniti	ADJ	1	lemmupos	FALSE	103	lemmupos-1	
komisar	komisar	NOUN	1	correct	TRUE			
vajen	vajen	ADJ	1	features	FALSE	33	features-1	
prekipevala	prekipevati	VERB	1	correct	TRUE			
pipec	pipec	PROPN	3	correct	TRUE			
kakó	kako	PART	2	upos	FALSE	4	upos-2	
preveval	prevevati	VERB	1	features	FALSE	76	features-1	
prikrivate	prikrivati	VERB	1	correct	TRUE			
pojdiva	pojdiv	VERB	1	lemma	FALSE	77	lemma-1	
žvižgaje	žvižgaja	VERB	1	lemmupos	FALSE	29	lemmupos-1	
konci	konec	NOUN	1	correct	TRUE			
procesija	procesija	NOUN	1	correct	TRUE			
strašili	strašiti	VERB	1	features	FALSE	29	features-1	
bogaboječo	bogaboječ	ADJ	1	correct	TRUE			
prekrasne	prekrasen	VERB	1	upos	FALSE	53	upos-1	
odvrne	odvrniti	VERB	2	correct	TRUE			
prijateljstva	prijateljstvo	NOUN	1	correct	TRUE			
ahac	ahac	PROPN	1	correct	TRUE			
varno	varno	ADJ	1	upos	FALSE	41	upos-1	
poesije	poesija	NOUN	1	lemma	FALSE	44	lemma-1	
on	on	NOUN	1	upos	FALSE	37	upos-1	
žene	žen	ADJ	1	lemmupos	FALSE	47	lemmupos-1	
britev	britev	NOUN	1	correct	TRUE			
slatinskih	slatinski	ADJ	1	correct	TRUE			
ljudij	ljudija	NOUN	1	lemma	FALSE	16	lemma-1	
lujiza	lujiza	PROPN	1	correct	TRUE			
sama	sam	NOUN	1	upos	FALSE	75	upos-1	
topniški	topniški	ADJ	1	correct	TRUE			
krasna	krasen	ADJ	1	correct	TRUE			
prečital	prečitati	VERB	1	correct	TRUE			
drago	draga	NOUN	1	lemmupos	FALSE	100	lemmupos-1	
teže	teči	ADV	1	correct	TRUE			
potém	poté	NOUN	1	lemmupos	FALSE	72	lemmupos-1	
vari	variti	VERB	1	lemma	FALSE	32	lemma-1	
dospem	dospe	NOUN	1	lemmupos	FALSE	66	lemmupos-1	
vpraša	vprašati	VERB	3	features	FALSE	1	features-3	
toge	tog	NOUN	1	lemma	FALSE	108	lemma-1	
odgovorili	odgovoriti	VERB	1	features	FALSE	10	features-1	
samomorilca	samomorilec	NOUN	1	features	FALSE	49	features-1	
žalosti	žalost	NOUN	1	features	FALSE	54	features-1	
nemožno	nemožno	ADV	1	lemma	FALSE	98	lemma-1	
megla	meči	VERB	1	lemmupos	FALSE	80	lemmupos-1	
hibe	hiba	NOUN	1	correct	TRUE			
rihbaldu	rihbald	PROPN	1	correct	TRUE			
posnažiti	posnažiti	VERB	1	correct	TRUE			
pravim	praviti	VERB	1	features	FALSE	12	features-1	
vnel	vneti	VERB	1	lemma	FALSE	115	lemma-1	
grdo	grd	ADJ	1	correct	TRUE			
ustni	usten	ADJ	1	lemmupos	FALSE	65	lemmupos-1	
uže	uža	ADV	1	lemmupos	FALSE	78	lemmupos-1	
zofo	zofa	NOUN	1	correct	TRUE			
nijste	nijsti	NOUN	1	lemmupos	FALSE	48	lemmupos-1	
vega	vi	PROPN	1	lemma	FALSE	134	lemma-1	
lepoto	lepot	NOUN	1	lemma	FALSE	89	lemma-1	
rajši	rad	ADJ	1	lemmupos	FALSE	21	lemmupos-1	
služkinji	služkinja	ADJ	1	upos	FALSE	59	upos-1	
jako	jako	ADV	3	correct	TRUE			
