form	lemma	upos	freq.samp	errtype	is_correct	randomID
gnädige	gnädig	ADJ	1	correct	TRUE	8
»ich	»ich	ADP	1	lemma	FALSE	40
mittagglitzern	mittagglitzern	NOUN	1	features	FALSE	41
»ich	»ich	ADV	1	lemma	FALSE	40
liebster	lieb	NOUN	1	upos	FALSE	62
heiligstes	heilig	NOUN	1	upos	FALSE	68
lachte	lachen	VERB	1	correct	TRUE	61
innstetten	innstette	NOUN	1	lemmupos	FALSE	96
›nun	›nun	VERB	1	lemmupos	FALSE	96
bagage	bagage	NOUN	1	correct	TRUE	20
gehorchte	gehorchen	VERB	1	correct	TRUE	61
zerfetzt	zerfetzen	VERB	1	correct	TRUE	94
bewandtniß	bewandtniß	NOUN	1	features	FALSE	53
blutsühne	blutsühne	NOUN	1	correct	TRUE	53
strobel	strobel	NOUN	1	upos	FALSE	91
bleich	bleich	ADJ	1	correct	TRUE	71
entsetzlich	entsetzlich	ADJ	1	upos	FALSE	73
pavels	pavels	PROPN	2	lemma	FALSE	101
wendelrose	wendelrose	NOUN	1	correct	TRUE	37
seelen	seelen	NOUN	1	features	FALSE	70
deine	dein	ADJ	1	correct	TRUE	28
gewißheit	gewißheit	NOUN	1	features	FALSE	39
garn	gar	NOUN	1	lemma	FALSE	69
verheimlichte	verheimlichen	VERB	1	correct	TRUE	8
klirrte	klirren	VERB	1	correct	TRUE	83
schürze	schürz	NOUN	1	lemma	FALSE	98
abschickte	abschicken	VERB	1	correct	TRUE	58
»in	»in	PROPN	1	lemmupos	FALSE	51
schwur	schwur	NOUN	1	lemmupos	FALSE	84
haben	heben	VERB	1	correct	TRUE	17
sommervögel	sommervogel	NOUN	1	features	FALSE	88
irgend	irgend	ADJ	1	correct	TRUE	11
empfand	empfand	VERB	1	lemma	FALSE	81
atemzug	atemzug	NOUN	1	correct	TRUE	50
vergrößerten	vergrößern	VERB	1	correct	TRUE	58
gleichaltrige	gleichaltrig	ADJ	1	correct	TRUE	52
bindfaden	bindfaden	PROPN	1	upos	FALSE	100
zuckt	zuckt	VERB	1	features	FALSE	47
»das	»der	PRON	1	lemma	FALSE	91
wasserspiegel	wasserspiegel	PROPN	1	upos	FALSE	92
schwebten	schweben	VERB	1	correct	TRUE	58
lauf	lauf	ADV	1	correct	TRUE	6
portier	portier	PROPN	1	upos	FALSE	80
»pescara	»pescara	PROPN	1	lemma	FALSE	50
»ich	»ich	ADP	5	lemmupos	FALSE	101
konnte	konnt	AUX	1	lemma	FALSE	100
angesichts	angesicht	NOUN	1	features	FALSE	43
ferne	ferne	ADJ	1	correct	TRUE	18
unverbesserliche	unverbesserlich	ADJ	1	correct	TRUE	42
muaß	muaß	VERB	1	lemma	FALSE	79
aufschub	aufschub	NOUN	1	features	FALSE	82
groß	groß	VERB	1	correct	TRUE	64
hauser	hauser	NOUN	2	features	FALSE	101
schlachtabend	schlachtabend	NOUN	1	correct	TRUE	58
gestanden	gestehen	VERB	1	lemma	FALSE	96
vernehmen	vernehmen	VERB	1	correct	TRUE	89
setze	setzen	PROPN	1	upos	FALSE	85
materielles	materielles	PROPN	1	upos	FALSE	97
»nein	»nein	PART	2	lemma	FALSE	101
rühren	rühren	VERB	1	correct	TRUE	52
fischerdorf	fischerdorf	NOUN	1	correct	TRUE	62
clementinen	clementine	NOUN	1	features	FALSE	57
leiser	leiser	ADJ	1	lemma	FALSE	38
entgegenstürzten	entgegenstürzen	VERB	1	correct	TRUE	95
puls	pul	PROPN	1	lemmupos	FALSE	53
markgräfin	markgräfin	NOUN	1	correct	TRUE	84
unwille	unwille	NOUN	1	correct	TRUE	82
flammender	flammend	ADJ	1	correct	TRUE	63
komm	kimmen	VERB	1	lemma	FALSE	52
grad	grad	PROPN	1	lemmupos	FALSE	83
kritzlig	kritzlig	ADJ	1	upos	FALSE	44
orlamünde	orlamund	PROPN	1	lemma	FALSE	68
den	der	VERB	1	correct	TRUE	78
daß	daß	VERB	1	correct	TRUE	66
zuspruch	zuspruch	NOUN	1	features	FALSE	46
knabe	knabe	NOUN	1	features	FALSE	76
lärmender	lärmender	ADV	1	upos	FALSE	51
tafel	tafel	NOUN	1	correct	TRUE	12
göttlichkeit	göttlichkeit	NOUN	1	correct	TRUE	41
blindenanstalt	blindenanstalt	NOUN	1	correct	TRUE	64
verzehrendes	verzehrend	ADJ	1	correct	TRUE	9
einführen	einführen	VERB	1	correct	TRUE	73
lächelte	lächeln	VERB	2	correct	TRUE	101
mama	mama	PROPN	1	correct	TRUE	64
italien	ital	PROPN	1	lemma	FALSE	57
mich's	mich's	PROPN	1	lemmupos	FALSE	69
forellen	forelle	NOUN	1	correct	TRUE	30
sphäre	sphäre	NOUN	1	correct	TRUE	88
hart	hart	PROPN	1	upos	FALSE	47
frauenzimmer	frauenzimmer	NOUN	1	features	FALSE	76
stimmenmehrheit	stimmenmehrheit	NOUN	1	correct	TRUE	14
mineralische	mineralische	NOUN	1	features	FALSE	41
danach	danechen	ADV	1	lemma	FALSE	65
wollust	wollust	NOUN	1	features	FALSE	56
himmlisches	himmlisch	ADJ	1	correct	TRUE	6
fad	fad	NOUN	1	lemmupos	FALSE	97
meinen	mein	VERB	1	correct	TRUE	9
ausschlag	ausschlag	NOUN	1	correct	TRUE	82
gastfreundlichen	gastfreundlich	ADJ	1	correct	TRUE	7
lehne	lehne	NOUN	1	correct	TRUE	27
schwacher	schwach	ADJ	1	correct	TRUE	79
lächeln	lächeln	VERB	1	correct	TRUE	65
eifersüchtig	eifersüchtig	ADJ	1	correct	TRUE	92
scr	scr	PROPN	1	correct	TRUE	95
›brandenburgischen	›brandenburgisch	ADJ	1	lemmupos	FALSE	52
in's	in's	PROPN	2	lemmupos	FALSE	101
campas	campas	PROPN	1	correct	TRUE	34
unehrlichen	unehrlich	ADJ	1	correct	TRUE	30
unklug	unklug	ADJ	1	correct	TRUE	59
erwachte	erwachen	VERB	1	correct	TRUE	49
»o	»o	PROPN	2	lemmupos	FALSE	101
repräsentations-	repräsentations-	NOUN	1	correct	TRUE	14
dunkeln	dunkel	NOUN	1	upos	FALSE	91
»gehen	»gehen	VERB	1	lemma	FALSE	69
cruse	cruse	PROPN	1	features	FALSE	77
zurückgehalten	zurückgehalten	VERB	1	correct	TRUE	58
bring	bring	PROPN	1	lemmupos	FALSE	100
schmales	schmal	ADJ	1	correct	TRUE	21
andern	ander	NOUN	1	upos	FALSE	69
mußte	mußen	AUX	1	lemma	FALSE	53
»sowas	»sowas	PRON	1	lemma	FALSE	53
clementinen	clementine	NOUN	1	upos	FALSE	57
net	net	ADJ	1	lemma	FALSE	44
trete	treten	VERB	1	correct	TRUE	87
erbin	erbin	NOUN	1	features	FALSE	45
»leben	»leben	VERB	1	lemma	FALSE	82
jedermann	jedermann	PROPN	1	upos	FALSE	72
überdrüssig	überdrüssig	ADJ	1	correct	TRUE	7
gebückten	gebückt	ADJ	1	features	FALSE	74
plaudert	plaudern	ADJ	1	upos	FALSE	61
stopfkuchen	stopfkuchen	NOUN	2	upos	FALSE	101
wohlerworbenen	wohlerworben	ADJ	1	correct	TRUE	57
gebannt	bannen	ADJ	1	correct	TRUE	57
blässe	blässe	NOUN	1	features	FALSE	86
schauten	schauen	VERB	1	correct	TRUE	57
fürstliche	fürstlich	ADJ	1	correct	TRUE	83
gesenkt	senkn	VERB	1	lemma	FALSE	76
faßte	faßen	NOUN	1	lemmupos	FALSE	42
schwachheit	schwachheit	NOUN	1	correct	TRUE	72
pforte	pfort	NOUN	1	correct	TRUE	38
sperlingsgasse	sperlingsgasse	NOUN	1	upos	FALSE	74
ausnehmen	ausnehmen	VERB	1	correct	TRUE	48
colonna	colonna	PROPN	1	correct	TRUE	77
hals	hals	PROPN	1	upos	FALSE	82
grützbrei	grützbrei	NOUN	1	correct	TRUE	63
»wollen	»wollen	NOUN	1	lemmupos	FALSE	82
kindischen	kindisch	ADJ	1	correct	TRUE	36
empfing	empfangen	VERB	1	features	FALSE	92
der	der	PROPN	1	upos	FALSE	81
losreißend	losreißend	ADJ	1	correct	TRUE	41
nachklang	nachklang	ADJ	1	lemmupos	FALSE	80
mein	mein	ADJ	1	correct	TRUE	88
schlaf	schlaf	NOUN	1	features	FALSE	95
weibe	weib	NOUN	1	correct	TRUE	64
wogegen	wogegen	VERB	1	upos	FALSE	72
hanni	hanni	NOUN	1	upos	FALSE	47
jahreszeit	jahreszeit	NOUN	1	correct	TRUE	84
kindlich	kindlich	ADJ	1	correct	TRUE	30
willst	willen	ADV	2	lemmupos	FALSE	101
läsest	läsesen	PROPN	1	lemmupos	FALSE	72
stimm	stimm	NOUN	1	lemma	FALSE	56
drin	drin	NOUN	1	upos	FALSE	88
geröthete	geröthet	ADJ	1	correct	TRUE	67
sakramente	sakrament	NOUN	1	correct	TRUE	66
vorstellte	vorstellen	VERB	1	correct	TRUE	51
»guten	»gut	ADJ	1	lemma	FALSE	36
lydia	lydia	PROPN	2	correct	TRUE	101
»hast	»haben	VERB	1	lemma	FALSE	40
gestreift	streifn	ADJ	1	lemmupos	FALSE	45
therese	therese	NOUN	1	upos	FALSE	59
überhaupt	überhaupen	ADV	1	correct	TRUE	43
kranz	kranz	PROPN	1	upos	FALSE	83
mama	mama	PROPN	2	features	FALSE	101
deines	deine	PRON	1	correct	TRUE	19
erwiderte	erwideren	VERB	1	correct	TRUE	82
»zu	»zu	PROPN	1	lemmupos	FALSE	60
beugt	beugen	VERB	1	correct	TRUE	45
»das	»das	PRON	2	lemma	FALSE	101
nebenzimmer	nebenzimmer	NOUN	1	correct	TRUE	36
mißmüthiges	mißmüthig	ADJ	1	correct	TRUE	76
aufrichten	aufrichen	VERB	1	lemma	FALSE	65
einquartiert	einquartieren	VERB	1	correct	TRUE	16
sommerliche	sommerlich	ADJ	1	correct	TRUE	99
baron	baron	NOUN	1	correct	TRUE	23
stiernacken	stiernacken	NOUN	1	correct	TRUE	29
armgard	armgard	PROPN	1	correct	TRUE	37
brigitten's	brigitten's	PROPN	1	features	FALSE	78
noahkasten	noahkasten	NOUN	1	features	FALSE	2
sag	siegen	PROPN	1	lemmupos	FALSE	78
»aber	»aber	SCONJ	2	lemma	FALSE	101
»der	»d	ADJ	1	lemmupos	FALSE	74
zwist	zwist	NOUN	1	features	FALSE	92
wenn's	wenn's	PROPN	1	lemmupos	FALSE	84
landjäger	landjäger	NOUN	1	features	FALSE	49
kammer.	kammer.	PROPN	1	upos	FALSE	43
schwieg	schweigen	VERB	1	correct	TRUE	69
stad	stad	PROPN	1	upos	FALSE	65
massenhafter	massenhaft	NOUN	1	upos	FALSE	74
übermenschlicher	übermenschlich	ADJ	1	correct	TRUE	74
besann	besinnen	VERB	1	correct	TRUE	44
zuzugehen	zuzugehen	VERB	1	correct	TRUE	4
»fräulein	»fräulein	ADJ	1	lemmupos	FALSE	49
feinsten	fein	ADJ	1	correct	TRUE	28
brave	brav	ADJ	1	correct	TRUE	71
kompliziert	kompliziert	VERB	1	correct	TRUE	93
opferst	opfersen	ADV	1	lemmupos	FALSE	90
ehrlich	ehrlich	ADJ	1	correct	TRUE	21
»verworfener	»verworfener	PROPN	1	lemmupos	FALSE	60
fort	foren	ADV	1	correct	TRUE	49
plauderte	plaudert	VERB	1	lemma	FALSE	100
gelegenheiten	gelegenheit	NOUN	1	features	FALSE	64
betrachtete	betrachtet	VERB	1	correct	TRUE	94
allzu	allzu	ADV	1	correct	TRUE	6
packte	packen	VERB	1	correct	TRUE	23
widerwärtiges	widerwärtig	ADJ	1	correct	TRUE	100
»dürfte	»dürfen	AUX	1	lemma	FALSE	58
prädikate	prädikat	NOUN	1	correct	TRUE	20
sehnt	sehnen	VERB	1	correct	TRUE	99
nicht	nichen	PART	1	lemma	FALSE	64
kaplanischen	kaplanisch	ADJ	1	correct	TRUE	11
excellenzen	excellenz	NOUN	1	features	FALSE	52
elend	elend	ADJ	1	correct	TRUE	87
schämen	schämen	VERB	1	correct	TRUE	54
verbreitet	verbreitet	VERB	1	correct	TRUE	19
dammerde	dammerde	NOUN	1	features	FALSE	68
blüht	blühen	VERB	1	correct	TRUE	69
zurücklässt	zurücklassen	VERB	1	correct	TRUE	99
pescara	pescara	PROPN	2	correct	TRUE	101
näherte	nähern	VERB	1	correct	TRUE	23
sag	siegen	NOUN	1	lemmupos	FALSE	78
handtücher	handtücher	PROPN	1	lemmupos	FALSE	88
will	will	AUX	1	correct	TRUE	43
feldherr	feldherr	NOUN	1	features	FALSE	91
hinausglitt	hinausgleiden	VERB	1	lemma	FALSE	64
geert	geert	VERB	1	lemmupos	FALSE	60
koa	koa	PROPN	1	lemmupos	FALSE	86
blanken	blank	NOUN	1	correct	TRUE	3
mochten	mocht	AUX	1	lemma	FALSE	49
gedächtnis	gedächtnis	NOUN	2	correct	TRUE	101
»ach	»ach	ADJ	2	lemmupos	FALSE	101
effi	effi	PROPN	2	correct	TRUE	101
riegelt	riegeln	VERB	1	correct	TRUE	35
hernehmen	hernehmen	VERB	1	lemma	FALSE	63
pavel	pavel	PROPN	1	correct	TRUE	89
leichtsinniger	leichtsinnig	ADJ	1	correct	TRUE	52
lippen	lippe	NOUN	1	correct	TRUE	3
gewußt	gewußen	VERB	1	lemma	FALSE	51
formende	formende	ADJ	1	features	FALSE	47
leibe	leibe	PROPN	1	lemmupos	FALSE	84
verweilen	verweilen	VERB	1	correct	TRUE	45
fangen	fangen	VERB	1	features	FALSE	89
not	not	NOUN	1	features	FALSE	65
eßzimmer	eßzimmer	NOUN	1	correct	TRUE	100
hm	hm	ADJ	1	upos	FALSE	86
tanzten	tanzen	VERB	1	correct	TRUE	18
gedanke	gedanke	NOUN	1	features	FALSE	46
eilends	eilends	ADV	1	correct	TRUE	2
herrmanns	herrmann	NOUN	1	upos	FALSE	45
wirke	wirken	NOUN	1	upos	FALSE	72
gnädigste	gnädig	ADJ	1	features	FALSE	86
»gegen	»gegen	VERB	1	lemmupos	FALSE	49
bring	bringen	PROPN	1	upos	FALSE	68
das	der	SCONJ	1	correct	TRUE	15
festhaltend	festhaltend	ADJ	1	correct	TRUE	52
trocknen	trocknen	VERB	1	correct	TRUE	7
bindematerial	bindematerial	NOUN	1	correct	TRUE	29
schürze	schürz	PROPN	1	upos	FALSE	98
lügen	lüge	NOUN	1	features	FALSE	87
kutsche	kutsche	PROPN	1	lemmupos	FALSE	60
soll	sollen	ADJ	1	correct	TRUE	31
irrende	irrend	ADJ	1	correct	TRUE	21
vergißt	vergißen	VERB	1	lemma	FALSE	77
moanst	moanst	ADV	1	lemmupos	FALSE	42
sessels	sessel	NOUN	1	correct	TRUE	6
dasselbe	dasselbe	PRON	1	correct	TRUE	57
grase	gras	PROPN	1	upos	FALSE	83
meinetwegen	meinetwegen	VERB	1	upos	FALSE	79
bekümmert	bekümmeren	VERB	1	lemmupos	FALSE	57
unterbrechen	unterbrechen	ADJ	1	upos	FALSE	73
miene	miene	NOUN	1	correct	TRUE	81
arme	arme	NOUN	1	lemmupos	FALSE	54
munterer	munter	ADJ	1	correct	TRUE	5
verlöschen	verlöschen	ADJ	1	correct	TRUE	91
gerechte	gerecht	ADJ	1	correct	TRUE	53
übermütig	übermütig	ADJ	1	upos	FALSE	66
gebe	geb	VERB	1	lemma	FALSE	39
he	he	NOUN	1	correct	TRUE	16
riechen	riechen	ADJ	1	upos	FALSE	66
herantretenden	herantretend	ADJ	1	correct	TRUE	35
stickig	stickig	ADJ	1	correct	TRUE	40
bub	bub	NOUN	1	correct	TRUE	56
versetzte	versetzn	VERB	1	lemma	FALSE	2
gänzlicher	gänzlich	ADJ	1	correct	TRUE	71
aufging	aufgehen	VERB	1	correct	TRUE	42
judith	judith	PROPN	1	correct	TRUE	96
heiter	heit	NOUN	1	lemmupos	FALSE	99
komödienlicht	komödienlicht	NOUN	1	correct	TRUE	93
glänzenden	glänzend	ADJ	1	correct	TRUE	73
scheren	scheren	VERB	1	correct	TRUE	74
wonne	wonne	NOUN	1	features	FALSE	88
lotterbette	lotterbette	PROPN	1	correct	TRUE	45
auflegten	auflegen	VERB	1	correct	TRUE	20
erinnerst	erinnersen	ADV	1	lemmupos	FALSE	47
pavel	pavel	PROPN	1	features	FALSE	89
»in	»in	PROPN	1	lemma	FALSE	51
verwandelt	verwandeln	VERB	1	correct	TRUE	78
operngläser	operngläser	NOUN	1	lemma	FALSE	74
»und	»und	ADJ	2	lemmupos	FALSE	101
küssen	kuß	NOUN	1	correct	TRUE	52
hinüber	hinüber	ADV	1	correct	TRUE	73
bebte	beben	VERB	1	correct	TRUE	79
rebenstock	rebenstock	PROPN	1	correct	TRUE	83
mädel	mädel	NOUN	1	features	FALSE	88
schritt	schreten	VERB	1	lemma	FALSE	99
stephan	stephan	PROPN	1	correct	TRUE	64
hanni	hanni	PROPN	2	features	FALSE	101
farbeneffekte	farbeneffekt	NOUN	1	correct	TRUE	77
wußte	wußen	AUX	2	lemmupos	FALSE	101
den	der	SCONJ	1	upos	FALSE	78
welch	welch	PRON	1	correct	TRUE	39
»wohlfart	»wohlfaren	PROPN	1	lemma	FALSE	42
dünkt	dünkt	VERB	1	correct	TRUE	13
wurscht	wurscht	VERB	1	upos	FALSE	49
widmest	widmest	PROPN	1	upos	FALSE	42
»komm	»komm	VERB	1	lemma	FALSE	42
begrüßend	begrüßend	ADJ	1	correct	TRUE	41
gewährte	gewährn	VERB	1	lemma	FALSE	95
dreißigjährigen	dreißigjährig	ADJ	1	correct	TRUE	70
aufgesetzt	aufsetzen	VERB	1	correct	TRUE	82
taumelte	taumeln	VERB	1	correct	TRUE	27
denn	denn	VERB	1	correct	TRUE	70
unvermögend	unvermögend	ADJ	1	correct	TRUE	52
kusine	kusine	NOUN	1	features	FALSE	56
klopfte	klopfen	VERB	1	correct	TRUE	77
beinah	beinehen	VERB	1	lemmupos	FALSE	70
nachmittagslicht	nachmittagslicht	NOUN	1	features	FALSE	72
barbyschen	barbyschen	ADJ	1	lemma	FALSE	59
dat	dat	NOUN	1	lemmupos	FALSE	48
wagentür	wagentür	NOUN	1	features	FALSE	71
»ja	»ja	PART	2	lemma	FALSE	101
zerhauen	zerhauen	NOUN	1	lemmupos	FALSE	43
wohnzimmer	wohnzimmer	NOUN	1	correct	TRUE	27
dienstvolk	dienstvolk	NOUN	1	correct	TRUE	83
martl	martl	PROPN	1	features	FALSE	74
eingeschlafen	eingeschlafen	VERB	1	lemmupos	FALSE	93
armenarztes	armenarzt	NOUN	1	correct	TRUE	28
schach	schach	PROPN	1	correct	TRUE	50
großmut	großmut	NOUN	1	correct	TRUE	83
unbeweglich	unbeweglich	ADJ	1	correct	TRUE	35
sarg	sarg	VERB	1	upos	FALSE	98
winterliches	winterlich	ADJ	1	correct	TRUE	89
fremd	fremd	ADJ	1	correct	TRUE	96
margret	margret	PROPN	1	features	FALSE	80
fragte	fragte	VERB	1	correct	TRUE	37
glauben	glaube	VERB	1	correct	TRUE	15
fuhr	fuhr	VERB	1	correct	TRUE	39
avallon	avallon	PROPN	1	correct	TRUE	77
entsetzt	entsetzen	VERB	1	correct	TRUE	68
gieshübler	gieshübler	ADJ	1	upos	FALSE	100
wir's	wir's	PROPN	2	lemmupos	FALSE	101
ruhmes	ruhmes	NOUN	1	lemma	FALSE	92
großartig	großartig	ADJ	1	correct	TRUE	65
übermochte	übermochen	VERB	1	lemma	FALSE	71
empfing	empfangen	VERB	2	correct	TRUE	101
anzündete	anzünden	VERB	1	correct	TRUE	94
schiffsleutnant	schiffsleutnant	NOUN	1	correct	TRUE	96
trocken	trock	VERB	1	lemmupos	FALSE	90
marmorklar	marmorklar	ADJ	1	correct	TRUE	4
rheinsberger	rheinsberger	PROPN	1	correct	TRUE	34
deckbett	deckbett	NOUN	1	features	FALSE	63
manne	mann	NOUN	1	correct	TRUE	42
rennt	rennen	VERB	1	correct	TRUE	82
überredete	überreden	VERB	1	correct	TRUE	4
beinah	beinah	ADV	1	correct	TRUE	27
derselbe	derselbe	PRON	1	correct	TRUE	7
wölfe	wölfe	NOUN	1	lemma	FALSE	94
schwül	schwül	ADJ	1	correct	TRUE	93
bezaubernd	bezaubernd	ADJ	1	correct	TRUE	25
tu?	tu?	X	1	correct	TRUE	37
taugenichtse	taugenichtse	NOUN	1	lemma	FALSE	92
gründlich	gründlich	ADJ	1	correct	TRUE	72
bureau	bureau	NOUN	1	correct	TRUE	23
auf	aaffen	ADP	1	lemma	FALSE	51
geisterhafter	geisterhafter	ADJ	1	lemmupos	FALSE	66
finstern	finster	VERB	1	upos	FALSE	79
beisammen	beisammen	VERB	1	upos	FALSE	75
jahrelange	jahrelange	ADV	1	lemmupos	FALSE	86
angekränkelt	angekränkeln	VERB	1	lemma	FALSE	43
feigheit	feigheit	NOUN	1	correct	TRUE	93
tiger	tige	NOUN	1	lemma	FALSE	39
zurückgeschlagen	zurückschlagen	VERB	1	correct	TRUE	40
mitleides	mitleides	NOUN	1	lemma	FALSE	95
fieberanfall	fieberanfall	NOUN	1	correct	TRUE	90
»sie	»sie|sie	PRON	2	lemma	FALSE	101
lächelten	lächelt	ADJ	1	lemmupos	FALSE	53
victoire	victoire	PROPN	1	features	FALSE	39
verleumdung	verleumdung	NOUN	1	features	FALSE	85
unendlichen	unendlich	ADJ	1	correct	TRUE	47
unschuld	unschuld	NOUN	1	correct	TRUE	99
fink	finken	PROPN	1	correct	TRUE	20
instrumente	instrumente	NOUN	1	correct	TRUE	72
sippe	sippe	NOUN	1	correct	TRUE	55
»'s	»'s	PROPN	1	lemmupos	FALSE	89
wilderer	wilderer	NOUN	1	features	FALSE	60
»daß	»daß	SCONJ	1	lemma	FALSE	86
begegneten	begegneten	ADJ	1	lemmupos	FALSE	68
bums	ben	NOUN	1	lemma	FALSE	69
firti	firti	PROPN	1	upos	FALSE	45
weltalls	weltall	NOUN	1	correct	TRUE	37
»was	»was	PRON	1	lemma	FALSE	43
wachten	wachen	VERB	1	correct	TRUE	77
sonntagmorgen	sonntagmorgen	PROPN	1	upos	FALSE	72
geraumer	geraum	PROPN	1	upos	FALSE	75
residuum	residuum	NOUN	1	correct	TRUE	28
seufzend	seufzend	ADV	1	correct	TRUE	15
zugestimmt	zugestimmen	ADJ	1	lemmupos	FALSE	70
thalberg	thalberg	PROPN	1	correct	TRUE	1
jämmerlichen	jämmerlichen	NOUN	1	features	FALSE	75
anwies	anweisen	VERB	1	correct	TRUE	21
einfluß	einfluß	NOUN	1	features	FALSE	69
carolath	carolath	PROPN	1	correct	TRUE	87
umschlingung	umschlingung	NOUN	1	correct	TRUE	30
fräulein	fräulein	PROPN	2	correct	TRUE	101
heruntergeneigt	heruntergeneigen	VERB	1	features	FALSE	61
trösten	trösen	ADJ	1	lemmupos	FALSE	46
gesichtchen	gesichtchen	NOUN	1	features	FALSE	81
schnappt	schnappt	VERB	1	correct	TRUE	51
»was	»was	PRON	2	lemma	FALSE	101
schiebt	schieben	VERB	2	correct	TRUE	101
graf	graf	NOUN	1	correct	TRUE	52
zahle	zahlen	NOUN	1	correct	TRUE	86
hauptleidtragenden	hauptleidtragende	NOUN	1	features	FALSE	75
ding	ding	PROPN	2	upos	FALSE	101
willst	willen	AUX	1	lemma	FALSE	84
klugen	klug	NOUN	1	upos	FALSE	79
wardein	wardein	PROPN	2	features	FALSE	101
innigen	innig	ADJ	1	correct	TRUE	100
einschlafen	einschlafen	VERB	1	correct	TRUE	51
zertrat	zertreten	VERB	1	correct	TRUE	6
»hanni	»hanni	PROPN	1	lemma	FALSE	49
kauflustigen	kauflustige	NOUN	1	features	FALSE	82
spiegelbild	spiegelbild	NOUN	1	correct	TRUE	39
stampfte	stampfen	VERB	1	correct	TRUE	44
wüsste	wüssen	VERB	1	lemma	FALSE	61
hoym	hoym	NOUN	1	upos	FALSE	67
meiner	ich	DET	1	correct	TRUE	93
graut	grauen	VERB	1	correct	TRUE	70
telegramm	telegramm	NOUN	1	correct	TRUE	81
gras	gras	PROPN	1	upos	FALSE	49
schmerzes	schmerz	NOUN	1	correct	TRUE	87
anblick	anblick	NOUN	2	correct	TRUE	101
geschöpf	geschöpf	NOUN	1	features	FALSE	49
»schulgerecht	»schulgerechen	ADJ	1	lemmupos	FALSE	87
viersitzige	viersitzige	ADJ	1	lemma	FALSE	91
halten	halten	ADJ	1	upos	FALSE	76
siegmund	siegmund	PROPN	1	correct	TRUE	23
prr	prr	NOUN	1	correct	TRUE	22
wohnt	wohnen	ADJ	1	correct	TRUE	81
elends	elend	NOUN	1	correct	TRUE	85
torgelow	torgelow	PROPN	1	correct	TRUE	11
›bedrohte	›bedroht	ADJ	1	lemmupos	FALSE	1
gewölk	gewölk	NOUN	1	correct	TRUE	85
ausgeschüttet	ausgeschütten	VERB	1	lemma	FALSE	77
schmackhaften	schmackhaft	VERB	1	upos	FALSE	73
verdarben	verdarben	VERB	1	lemma	FALSE	69
bist	bist	VERB	1	correct	TRUE	46
dienstboten	dienstbot	NOUN	1	lemma	FALSE	40
geschöpf	geschöpf	NOUN	1	features	FALSE	49
herankam	herankommen	VERB	1	correct	TRUE	31
»und	»und	ADV	1	lemmupos	FALSE	84
tote	tot	NOUN	1	correct	TRUE	75
ich's	ich's	PROPN	2	lemmupos	FALSE	101
erlösung	erlösung	NOUN	1	features	FALSE	57
buche	buch	NOUN	1	correct	TRUE	46
reisegepäck	reisegepäck	NOUN	1	correct	TRUE	49
fischers	fischer	NOUN	1	correct	TRUE	9
